Month,Actual,Holdout_Pred,Forecast
2022-05-01,164.0,,
2022-06-01,34.0,,
2022-07-01,186.0,,
2022-08-01,117.0,,
2022-09-01,103.0,,
2022-10-01,484.7699999999998,,
2022-11-01,358.0,,
2022-12-01,243.0,,
2023-01-01,207.0,,
2023-02-01,125.0,,
2023-03-01,192.0,,
2023-04-01,36.0,,
2023-05-01,157.0,,
2023-06-01,135.0,,
2023-07-01,70.0,,
2023-08-01,117.0,,
2023-09-01,123.0,,
2023-10-01,215.0,,
2023-11-01,166.0,,
2023-12-01,261.0,,
2024-01-01,307.0,,
2024-02-01,386.0,,
2024-03-01,261.0,,
2024-04-01,260.0,,
2024-05-01,259.0,,
2024-06-01,139.0,,
2024-07-01,281.0,,
2024-08-01,152.0,,
2024-09-01,32.0,105.36369520733841,
2024-10-01,118.0,102.35149352539642,
2024-11-01,100.0,91.34529944317796,
2024-12-01,25.0,89.81409731889838,
2025-01-01,206.0,96.63949961123107,
2025-02-01,110.0,108.06562019316112,
2025-03-01,60.0,103.76468537293734,
2025-04-01,,,45.52476947178298
2025-05-01,,,93.98679820369792
2025-06-01,,,103.26914567537479
2025-07-01,,,93.3969332598457
2025-08-01,,,95.07587188792648
2025-09-01,,,101.83817623444891
